store_id,clinic_name,store_name,Zipcode,adress,access,hours
sbc_064,湘南美容クリニック,大宮西口院,〒330-0854,埼玉県さいたま市大宮区桜木町一丁目6番地2 大宮スカイビル そごう大宮店 本館13階,-,10:00〜19:00<br>店舗により異なる
sbc_065,湘南美容クリニック,津田沼院,〒275-0016,千葉県習志野市津田沼1丁目2番13号 OKビル3階,-,10:00〜19:00<br>店舗により異なる
sbc_066,湘南美容クリニック,流山おおたかの森院,〒270-0128,千葉県流山市おおたかの森西1丁目2－3 アゼリアテラス901,-,10:00〜19:00<br>店舗により異なる
sbc_067,湘南美容クリニック,千葉センシティ院,〒260-0028,千葉県千葉市中央区新町1000番地 センシティビルディング9階,-,10:00〜19:00<br>店舗により異なる
sbc_068,湘南美容クリニック,船橋院,〒273-0005,千葉県船橋市本町4-2-9 菅野屋船橋ビル4階,-,10:00〜19:00<br>店舗により異なる
sbc_069,湘南美容クリニック,新浦安院,〒279-0012,千葉県浦安市入船一丁目５番2号 プライムタワー新浦安20階,-,10:00〜19:00<br>店舗により異なる
sbc_070,湘南美容クリニック,松戸院,〒271-0092,千葉県松戸市松戸1307-1 松戸ビル2階,-,10:00〜19:00<br>店舗により異なる
sbc_071,湘南美容クリニック,柏院,〒277-0921,千葉県柏市柏1-7-1 Day Oneタワー2階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
sbc_073,湘南美容クリニック,横須賀中央院,〒238-0008,神奈川県横須賀市大滝町2-15-1 横須賀東相ビル4階,-,10:00〜19:00<br>店舗により異なる
sbc_074,湘南美容クリニック,橋本院,〒252-0143,神奈川県相模原市緑区橋本3-19-3 ヴィンテージ橋本２F,-,10:00〜19:00<br>店舗により異なる
sbc_075,湘南美容クリニック,辻堂アカデミア,〒251-0041,神奈川県藤沢市辻堂神台1-3-39 オザワビル4F,-,10:00〜19:00<br>店舗により異なる
sbc_076,湘南美容クリニック,藤沢院,〒251-0055,神奈川県藤沢市南藤沢3-12 クリオ藤沢4F,-,10:00〜19:00<br>店舗により異なる
sbc_077,湘南美容クリニック,本厚木院,〒243-0018,神奈川県厚木市中町2丁目2－1 本厚木ミロード2 7階,-,10:00〜19:00<br>店舗により異なる
sbc_078,湘南美容クリニック,新横浜院,〒222-0033,神奈川県横浜市港北区新横浜三丁目6-2 新横浜ゲートサイド7階,-,10:00〜19:00<br>店舗により異なる
sbc_079,湘南美容クリニック,イオン横浜西口院,〒220-0005,神奈川県横浜市西区南幸2丁目16-1 イオン CeeU Yokohama 9階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
#ERROR!
sbc_082,湘南美容クリニック,横浜院,〒221-0835,神奈川県横浜市神奈川区鶴屋町2-23-2 TSプラザビル3F,-,10:00〜19:00<br>店舗により異なる
sbc_083,湘南美容クリニック,新百合ヶ丘院,〒215-0021,神奈川県川崎市麻生区上麻生一丁目20番1号 小田急アコルデ新百合ヶ丘7階,-,10:00〜19:00<br>店舗により異なる
sbc_084,湘南美容クリニック,川崎院,〒210-0024,神奈川県川崎市川崎区日進町1‐11 川崎ルフロン8F,-,10:00〜19:00<br>店舗により異なる
sbc_085,湘南美容クリニック,武蔵小杉院,〒211-0016,神奈川県川崎市中原区市ノ坪449‐3シティータワー武蔵小杉2F,-,10:00〜19:00<br>店舗により異なる
#ERROR!
#ERROR!
sbc_088,湘南美容クリニック,調布院,〒182-0026,東京都調布市小島町1丁目35-5 調布アミックスビル4階,-,10:00〜19:00<br>店舗により異なる
sbc_089,湘南美容クリニック,吉祥寺院,〒180-0004,東京都武蔵野市吉祥寺本町1丁目8－22 吉祥寺パレスビル3階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
#ERROR!
sbc_092,湘南美容クリニック,北千住院,〒120-0034,東京都足立区千住3丁目74−1 第2白亜ビル2階,-,10:00〜19:00<br>店舗により異なる
sbc_093,湘南美容クリニック,豊洲院,〒135-0061,東京都江東区豊洲5-6-36 豊洲プライムスクエア5F,-,10:00〜19:00<br>店舗により異なる
sbc_094,湘南美容クリニック,赤羽院,〒115-0045,東京都北区赤羽1－9－3 赤羽駅前ビル7階,-,10:00〜19:00<br>店舗により異なる
sbc_095,湘南美容クリニック,東京蒲田院,〒144-0052,東京都大田区蒲田5-17-1 ヒューリック蒲田ビル8F,-,10:00〜19:00<br>店舗により異なる
sbc_096,湘南美容クリニック,二子玉川院,〒158-0094,東京都世田谷区玉川3-11-7 T's SQUARE 2階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
#ERROR!
sbc_099,湘南美容クリニック,上野院,〒110-0005,東京都台東区上野1-20-11 鈴乃屋本店ビル8F,-,10:00〜19:00<br>店舗により異なる
sbc_100,湘南美容クリニック,錦糸町院,〒130-8535,東京都墨田区江東橋4丁目27番14号 楽天地ビル２Ｆ,-,10:00〜19:00<br>店舗により異なる
sbc_101,湘南美容クリニック,池袋東口院,〒171-0022,東京都豊島区南池袋一丁目19番地5号 Gビル南池袋01 7階,-,10:00〜19:00<br>店舗により異なる
sbc_102,湘南美容クリニック,池袋西口院,〒171-0014,東京都豊島区池袋2-6-1 KDX池袋ビル3F,-,10:00〜19:00<br>店舗により異なる
sbc_103,湘南美容クリニック,Regno銀座院,〒104-0061,東京都中央区銀座5‐10‐2GINZA MISS PARIS3階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
sbc_105,湘南美容クリニック,銀座院,〒104-0061,東京都中央区銀座四丁目3番1号 並木館9階,-,10:00〜19:00<br>店舗により異なる
sbc_106,湘南美容クリニック,新橋銀座口院,〒105-0004,東京都港区新橋1-12-9 新橋プレイス9F,-,10:00〜19:00<br>店舗により異なる
#ERROR!
sbc_108,湘南美容クリニック,表参道院,〒107-0061,東京都港区北青山3-11-7AOビル7階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
sbc_110,湘南美容クリニック,新宿南口院,〒160-0022,東京都新宿区新宿４-2-23 新四Ｃurumuビル6階,-,10:00〜19:00<br>店舗により異なる
sbc_111,湘南美容クリニック,新宿本院,〒163-1390,東京都新宿区西新宿6-5-1 新宿アイランドタワー24F,-,10:00〜19:00<br>店舗により異なる
#ERROR!
#ERROR!
#ERROR!
sbc_115,湘南美容クリニック,いわき院,〒970-8026,福島県いわき市平字田町120番地 ラトブ3階,-,10:00〜19:00<br>店舗により異なる
#ERROR!
sbc_117,湘南美容クリニック,福島院,〒960-8031,福島県福島市栄町6-1 メディアシティエスタ4F,-,10:00〜19:00<br>店舗により異なる
sbc_118,湘南美容クリニック,仙台院,〒980-0021,宮城県仙台市青葉区中央1ｰ2ｰ3仙台マークワン17階,-,10:00〜19:00<br>店舗により異なる
sbc_119,湘南美容クリニック,山形院,〒990-0039,山形県山形市香澄町一丁目１番１号 エスパル山形 5階,-,10:00〜19:00<br>店舗により異なる
sbc_120,湘南美容クリニック,秋田院,〒010-0874,秋田県秋田市 千秋久保田町4-2 秋田オーパ7階,-,10:00〜19:00<br>店舗により異なる
sbc_121,湘南美容クリニック,青森院,〒038-0012,青森県青森市柳川一丁目2番3号 青森駅ビル・ラビナ4階,-,10:00〜19:00<br>店舗により異なる
sbc_122,湘南美容クリニック,旭川院,〒070-0031,北海道旭川市一条通7丁目47番地1 プレミスト旭川ザ・タワー 2階,-,10:00〜19:00<br>店舗により異なる
sbc_123,湘南美容クリニック,札幌大通院,〒064-0821,北海道札幌市中央区北一条西3-3-10 KOKOHOTEL札幌駅前 3階,-,10:00〜19:00<br>店舗により異なる
sbc_124,湘南美容クリニック,札幌院,〒060-0005,北海道札幌市中央区北5条西2-5 JRタワーオフィスプラザさっぽろ13F,-,10:00〜19:00<br>店舗により異なる
lieto_001,リエートクリニック,名古屋院,〒450-0002,愛知県名古屋市中村区名駅4-8-26エニシオ名駅4F,名古屋駅から徒歩3分,平日10:00〜20:00<br>土日祝日10:00〜20:00<br>休診日：年末年始
#ERROR!
lieto_003,リエートクリニック,池袋院,〒171-0022,東京都豊島区南池袋1丁目25-11 第15野萩ビル 9階,JR線「池袋駅」徒歩1分,平日10:00〜20:00<br>土日祝日10:00〜20:00<br>休診日：年末年始
eminal_001,エミナルクリニック,那覇院,〒900-0034,沖縄県那覇市東町4-15 幸ビル4階・5階,ゆいレール旭橋駅より徒歩4分 または那覇バス旭橋駅前バス停すぐ,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_002,エミナルクリニック,鹿児島院,〒892-0842,鹿児島県鹿児島市東千石町14-1 巴里屋ビル 8階,天文館通駅徒歩すぐ,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_003,エミナルクリニック,宮崎院,〒880-0001,宮崎県宮崎市橘通西3-10-36 ニシムラビル4F,宮崎交通バス「橘通り3丁目」バス停より徒歩3分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_004,エミナルクリニック,熊本院,〒860-0808,熊本県熊本市中央区手取本町4-17 TETORIHONCHO SAMURAI BLD.7F,通町筋駅から徒歩4分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_005,エミナルクリニック,大分院,〒870-0035,大分県大分市中央町1-1-20 ニューガイア大分駅前BLDG.7F,JR大分駅徒歩4分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
eminal_007,エミナルクリニック,長崎院,〒850-0853,長崎県長崎市浜町3-20 浜町くまビル3階,観光通り電停から徒歩2分 または浜町アーケード電停から徒歩3分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_008,エミナルクリニック,久留米総合美容外科(連携医療機関),〒830-0039,福岡県久留米市花畑1丁目23－2 西鉄花畑ビル2階 久留米総合美容外科内,西鉄花畑駅徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_009,エミナルクリニック,小倉院,〒802-0006,福岡県北九州市小倉北区魚町2丁目3-20 第30エルザビル3F,平和通り駅から徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_010,エミナルクリニック,福岡天神2号院,〒810-0001,福岡県福岡市中央区天神2丁目4-12 天神矢野ビル3階,西鉄福岡天神駅徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_011,エミナルクリニック,福岡天神院,〒810-0001,福岡県福岡市中央区天神2丁目7番8号 西天神ビル5階,西鉄福岡天神駅徒歩3分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
#ERROR!
eminal_014,エミナルクリニック,高松院,〒760-0029,香川県高松市丸亀町7-16 丸亀町グリーン2F,瓦町駅徒歩7分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_015,エミナルクリニック,徳島院,〒770-0832,徳島県徳島市寺島本町東2-29 徳島電気ビル別館3階,JR徳島駅から徒歩4分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_016,エミナルクリニック,山口院,〒754-0043,山口県山口市小郡明治1丁目17番5号SMILE新山口ビルⅡ 2階,新山口駅北口から徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
eminal_018,エミナルクリニック,岡山院,〒700-0903,岡山県岡山市北区幸町8－20 AQUAテラス幸町4階・5階,JR岡山駅後楽園口（東口）から徒歩8分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_019,エミナルクリニック,和歌山院,〒640-8331,和歌山県和歌山市美園町5-1-8 山榮ビル2階,和歌山駅徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_020,エミナルクリニック,奈良院,〒630-8241,奈良県奈良市高天町38-3 近鉄高天ビル2F,近鉄奈良駅 徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_021,エミナルクリニック,姫路院,〒670-0927,兵庫県姫路市駅前町247 御幸苑ビル3階,JR姫路駅から徒歩1分 または山陽電鉄山陽姫路駅から徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_022,エミナルクリニック,神戸院,〒651-0086,兵庫県神戸市中央区磯上通7-1-19 プログレス神戸4F,JR三ノ宮駅より徒歩5分 または阪神神戸三宮駅より徒歩6分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_023,エミナルクリニック,天王寺院,〒545-0052,大阪府大阪市阿倍野区阿倍野筋1丁目5番10号あべのnini2階,阪堺電気軌道上町線天王寺駅前駅より徒歩2分 またはJR大阪環状線天王寺駅徒歩2分 またはOsaka Metro御堂筋線 天王寺駅 徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_024,エミナルクリニック,心斎橋院,〒542-0086,大阪府 大阪市中央区西心斎橋2-1-25 心斎橋W-Place 4F,御堂筋線心斎橋駅より徒歩5分 または四ツ橋線四ツ橋駅より徒歩7分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_025,エミナルクリニック,梅田院,〒530-0001,大阪府大阪市北区梅田1丁目12-6 E-MA(イーマ)3階,大阪梅田駅百貨店口から徒歩3分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
#ERROR!
eminal_028,エミナルクリニック,四日市院,〒510-0086,三重県四日市市諏訪栄町10－5 ランドマークアーバンビル2・5階 （※新規カウンセリングは2階）,近鉄四日市駅から徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_029,エミナルクリニック,豊橋院（施術専門院）,〒440-0881,愛知県豊橋市広小路1-39 豊栄ビルB1F,豊橋鉄道東田本線駅前駅から徒歩で1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_030,エミナルクリニック,名古屋院,〒450-0002,愛知県名古屋市中村区名駅3丁目20番1号 サンシャイン名駅ビル4F,地下鉄桜通線 国際センター駅1番出口から徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_031,エミナルクリニック,浜松院,〒430-0934,静岡県浜松市中央区千歳町70-1 funビルディング3階,JR浜松駅から徒歩6分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
eminal_033,エミナルクリニック,岐阜院,〒500-8833,岐阜県岐阜市神田町6丁目12 シグザ神田ビル6階,名鉄岐阜駅より徒歩8分 またはJR岐阜駅より徒歩12分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_034,エミナルクリニック,長野院,〒380-0825,長野県長野市大字南長野末広町1356 NACS末広3階,長野駅より徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
eminal_036,エミナルクリニック,金沢院,〒920-0853,石川県金沢市本町1丁目5番3号 リファーレ2F,JR金沢駅から徒歩6分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_037,エミナルクリニック,富山院,〒930-0002,富山県富山市新富町2-4-25 カーニープレイス富山3F,JR富山駅 徒歩6分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_038,エミナルクリニック,新潟院,〒950-0088,新潟県新潟市中央区万代1丁目1-26 万代ビル4F,JR新潟駅 徒歩7分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_039,エミナルクリニック,川崎院,〒210-0006,神奈川県川崎市川崎区砂子2-4-17 Cassia Kawasaki Residence 2階,JR川崎駅から徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_040,エミナルクリニック,横浜院,〒220-0004,神奈川県横浜市西区北幸1丁目1-8 エキニア横浜7階(707),JR横浜駅より徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_041,エミナルクリニック,町田院,〒194-0013,東京都町田市原町田6丁目7-8 ティップス町田ビル3階,JR横浜線 町田駅徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_042,エミナルクリニック,立川院,〒190-0012,東京都立川市曙町1丁目-14-17籏野ビル5階,立川駅から徒歩4分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_043,エミナルクリニック,上野院,〒110-0005,東京都台東区上野7丁目3-2 TSDビル6階,JR上野駅より徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_044,エミナルクリニック,池袋東口院,〒171-0022,豊島区南池袋2丁目27-8 第10野萩ビル7階,池袋駅東口徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_045,エミナルクリニック,池袋院,〒171-0022,東京都豊島区南池袋3-13-10 ISP第3ビル4F,池袋駅東口徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
eminal_047,エミナルクリニック,渋谷院（施術専門院）,〒150-0002,東京都 渋谷区渋谷2丁目22－16 渋谷TRビル5階,JR渋谷駅から徒歩2分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_048,エミナルクリニック,渋谷駅前院,〒150-0043,東京都 渋谷区道玄坂1-3-1 飯島ビル8F,JR渋谷駅ハチ公口から徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
#ERROR!
eminal_051,エミナルクリニック,船橋院,〒273-0005,千葉県船橋市本町4-2-9 菅野屋船橋ビル3F,東武/JR船橋駅南口より徒歩2分 または京成船橋駅より徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_052,エミナルクリニック,千葉院,〒260-0015,千葉県千葉市中央区富士見1-14-11 常盤ビル7階,JR千葉駅徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
#ERROR!
eminal_055,エミナルクリニック,宇都宮院,〒320-0802,栃木県宇都宮市江野町6-10 天心堂ビル5F,東武宇都宮駅東口徒歩約1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_056,エミナルクリニック,水戸院,〒310-0015,茨城県水戸市宮町1丁目7-20ホテルテラスザガーデン水戸1階,JR水戸駅から徒歩すぐ,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_057,エミナルクリニック,郡山院,〒963-8004,福島県郡山市中町7-17 かねいビル1F,JR郡山駅より徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_058,エミナルクリニック,秋田院,郵便番号が見つかりません,秋田県秋田市中通2-4-22Flat秋田1階・2階,JR秋田駅から徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_059,エミナルクリニック,仙台院,〒980-0811,宮城県仙台市青葉区一番町3-9-13 DATE ONEビル5階,広瀬通駅徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
#ERROR!
#ERROR!
eminal_062,エミナルクリニック,旭川院,〒070-0031,北海道旭川市1条通10丁目342-2スペーシア旭川一条通3階,JR旭川駅から徒歩5分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
eminal_063,エミナルクリニック,札幌院,〒060-0001,北海道札幌市中央区北1条西3丁目3-11 桂和北1条ビル9階・10階,大通駅7番出口より徒歩5分 または札幌駅前通地下歩行空間9番出口より徒歩1分,平日11:00〜21:00<br>休診日：年末年始<br>院により異なる。
dio_001,ディオクリニック,福岡天神院,〒810-0001,福岡県福岡市中央区天神二丁目8番22号 Ｇビル天神西通り01 3階,天神駅3番出口徒歩2分,平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始
#ERROR!
dio_003,ディオクリニック,なんば心斎橋院,〒542-0085,大阪府大阪市中央区心斎橋筋 2丁目5-5 Shinsaibashi GATE 8階,なんば駅14番出口から徒歩2分,平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始
dio_004,ディオクリニック,大阪梅田院,〒530-0057,大阪府大阪市北区曽根崎2-13-17 曽根崎渡辺ビル 3F,大阪駅徒歩7分 東梅田駅徒歩1分,平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始
dio_005,ディオクリニック,天王寺院,〒730-0031,広島県広島市中区紙屋町2-3-20 ソシオスクエア紙屋町ビル 3F,天王寺駅14番出口徒歩3分,平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始
